Sherlock	PROPN	Sherlock
Holmes	PROPN	Holmes
took	VERB	take
his	PRON	his
bottle	NOUN	bottle
from	ADP	from
the	DET	the
corner	NOUN	corner
of	ADP	of
the	DET	the
mantel	NOUN	mantel
-	PUNCT	-
piece	NOUN	piece
and	CCONJ	and
his	PRON	his
hypodermic	ADJ	hypodermic
syringe	NOUN	syringe
from	ADP	from
its	PRON	its
neat	ADJ	neat
morocco	NOUN	morocco
case	NOUN	case
.	PUNCT	.
With	ADP	with
his	PRON	his
long	ADJ	long
,	PUNCT	,
white	ADJ	white
,	PUNCT	,
nervous	ADJ	nervous
fingers	NOUN	finger
he	PRON	he
adjusted	VERB	adjust
the	DET	the
delicate	ADJ	delicate
needle	NOUN	needle
,	PUNCT	,
and	CCONJ	and
rolled	VERB	roll
back	ADP	back
his	PRON	his
left	ADJ	left
shirt	NOUN	shirt
-	PUNCT	-
cuff	NOUN	cuff
.	PUNCT	.
For	ADP	for
some	DET	some
little	ADJ	little
time	NOUN	time
his	PRON	his
eyes	NOUN	eye
rested	VERB	rest
thoughtfully	ADV	thoughtfully
upon	SCONJ	upon
the	DET	the
sinewy	ADJ	sinewy
forearm	NOUN	forearm
and	CCONJ	and
wrist	NOUN	wrist
all	DET	all
dotted	VERB	dot
and	CCONJ	and
scarred	VERB	scar
with	ADP	with
innumerable	ADJ	innumerable
puncture	NOUN	puncture
-	PUNCT	-
marks	NOUN	mark
.	PUNCT	.
Finally	ADV	finally
he	PRON	he
thrust	VERB	thrust
the	DET	the
sharp	ADJ	sharp
point	NOUN	point
home	ADV	home
,	PUNCT	,
pressed	VERB	press
down	ADP	down
the	DET	the
tiny	ADJ	tiny
piston	NOUN	piston
,	PUNCT	,
and	CCONJ	and
sank	VERB	sink
back	ADV	back
into	ADP	into
the	DET	the
velvet	NOUN	velvet
-	PUNCT	-
lined	VERB	line
arm	NOUN	arm
-	PUNCT	-
chair	NOUN	chair
with	ADP	with
a	DET	a
long	ADJ	long
sigh	NOUN	sigh
of	ADP	of
satisfaction	NOUN	satisfaction
.	PUNCT	.
Three	NUM	three
times	NOUN	time
a	DET	a
day	NOUN	day
for	ADP	for
many	ADJ	many
months	NOUN	month
I	PRON	I
had	AUX	have
witnessed	VERB	witness
this	DET	this
performance	NOUN	performance
,	PUNCT	,
but	CCONJ	but
custom	NOUN	custom
had	AUX	have
not	PART	not
reconciled	VERB	reconcile
my	PRON	my
mind	NOUN	mind
to	ADP	to
it	PRON	it
.	PUNCT	.
On	ADP	on
the	DET	the
contrary	NOUN	contrary
,	PUNCT	,
from	ADP	from
day	NOUN	day
to	ADP	to
day	NOUN	day
I	PRON	I
had	AUX	have
become	VERB	become
more	ADV	more
irritable	ADJ	irritable
at	ADP	at
the	DET	the
sight	NOUN	sight
,	PUNCT	,
and	CCONJ	and
my	PRON	my
conscience	NOUN	conscience
swelled	VERB	swell
nightly	ADV	nightly
within	ADP	within
me	PRON	I
at	ADP	at
the	DET	the
thought	NOUN	thought
that	SCONJ	that
I	PRON	I
had	AUX	have
lacked	VERB	lack
the	DET	the
courage	NOUN	courage
to	PART	to
protest	VERB	protest
.	PUNCT	.
Again	ADV	again
and	CCONJ	and
again	ADV	again
I	PRON	I
had	AUX	have
registered	VERB	register
a	DET	a
vow	NOUN	vow
that	DET	that
I	PRON	I
should	AUX	should
deliver	VERB	deliver
my	PRON	my
soul	NOUN	soul
upon	SCONJ	upon
the	DET	the
subject	NOUN	subject
,	PUNCT	,
but	CCONJ	but
there	PRON	there
was	VERB	be
that	SCONJ	that
in	ADP	in
the	DET	the
cool	ADJ	cool
,	PUNCT	,
nonchalant	ADJ	nonchalant
air	NOUN	air
of	ADP	of
my	PRON	my
